Id,WnvPresent
659,0.1
660,0.1
661,0.1
662,0.1
663,0.1
664,0.1
665,0.1
666,0.1
667,0.1
668,0.1
669,0.1
670,0.1
671,0.1
672,0.1
673,0.1
674,0.1
675,0.1
676,0.1
677,0.1
678,0.1
679,0.1
680,0.1
681,0.1
682,0.1
683,0.1
684,0.1
685,0.1
686,0.1
687,0.1
688,0.1
689,0.1
690,0.1
691,0.1
692,0.1
693,0.1
694,0.1
695,0.1
696,0.1
697,0.1
698,0.1
699,0.1
700,0.1
701,0.1
702,0.1
703,0.1
704,0.1
705,0.1
706,0.1
707,0.1
708,0.1
709,0.1
710,0.1
711,0.1
712,0.1
713,0.1
714,0.1
715,0.1
716,0.1
717,0.1
718,0.1
719,0.1
720,0.1
721,0.1
722,0.1
723,0.1
724,0.1
725,0.1
726,0.1
727,0.1
728,0.1
729,0.1
730,0.1
731,0.1
732,0.1
733,0.1
734,0.1
735,0.1
736,0.1
737,0.1
738,0.1
739,0.1
740,0.1
741,0.1
742,0.1
743,0.1
744,0.1
745,0.1
746,0.1
747,0.1
748,0.1
749,0.1
750,0.1
751,0.1
752,0.1
753,0.1
754,0.1
755,0.1
756,0.1
757,0.1
758,0.1
759,0.1
760,0.1
761,0.1
762,0.1
763,0.1
764,0.1
765,0.1
766,0.1
767,0.1
768,0.1
769,0.2
770,0.1
771,0.2
772,0.1
773,0.1
774,0.1
775,0.1
776,0.1
777,0.1
778,0.1
779,0.1
780,0.1
781,0.1
782,0.1
783,0.1
784,0.1
785,0.1
786,0.1
787,0.1
788,0.1
789,0.1
790,0.1
791,0.1
792,0.1
793,0.1
794,0.1
795,0.1
796,0.1
797,0.1
798,0.1
799,0.1
800,0.1
801,0.1
802,0.1
803,0.1
804,0.1
805,0.1
806,0.1
807,0.1
808,0.1
809,0.1
810,0.1
811,0.1
812,0.1
813,0.1
814,0.1
815,0.1
816,0.1
817,0.1
818,0.1
819,0.1
820,0.1
821,0.1
822,0.1
823,0.1
824,0.1
825,0.1
826,0.1
827,0.1
828,0.1
829,0.1
830,0.1
831,0.1
832,0.1
833,0.1
834,0.1
835,0.1
836,0.1
837,0.1
838,0.1
839,0.1
840,0.1
841,0.1
842,0.1
843,0.1
844,0.1
845,0.1
846,0.1
847,0.1
848,0.1
849,0.1
850,0.1
851,0.1
852,0.1
853,0.1
854,0.1
855,0.1
856,0.1
857,0.1
858,0.1
859,0.1
860,0.1
861,0.1
862,0.1
863,0.1
864,0.1
865,0.1
866,0.1
867,0.1
868,0.1
869,0.1
870,0.1
871,0.1
872,0.1
873,0.1
874,0.1
875,0.1
876,0.1
877,0.1
878,0.1
879,0.1
880,0.1
881,0.1
882,0.1
883,0.1
884,0.1
885,0.1
886,0.1
887,0.1
888,0.1
889,0.1
890,0.1
891,0.1
892,0.1
893,0.1
894,0.1
895,0.1
896,0.1
897,0.1
898,0.1
899,0.1
900,0.1
901,0.1
902,0.1
903,0.1
904,0.1
905,0.1
906,0.1
907,0.1
908,0.1
909,0.1
910,0.1
911,0.1
912,0.1
913,0.1
914,0.1
915,0.1
916,0.1
917,0.1
918,0.1
919,0.1
920,0.1
921,0.1
922,0.1
923,0.1
924,0.1
925,0.1
926,0.1
927,0.1
928,0.1
929,0.1
930,0.1
931,0.1
932,0.1
933,0.1
934,0.1
935,0.1
936,0.1
937,0.2
938,0.1
939,0.2
940,0.1
941,0.1
942,0.1
943,0.1
944,0.1
945,0.1
946,0.1
947,0.1
948,0.1
949,0.1
950,0.1
951,0.1
952,0.1
953,0.1
954,0.1
955,0.1
956,0.1
957,0.1
958,0.1
959,0.1
960,0.1
961,0.1
962,0.1
963,0.1
964,0.1
965,0.1
966,0.1
967,0.1
968,0.1
969,0.1
970,0.1
971,0.1
972,0.1
973,0.1
974,0.1
975,0.1
976,0.1
977,0.1
978,0.1
979,0.1
980,0.1
981,0.1
982,0.1
983,0.1
984,0.1
985,0.1
986,0.1
987,0.1
988,0.1
989,0.1
990,0.1
991,0.1
992,0.1
993,0.1
994,0.1
995,0.1
996,0.1
997,0.1
998,0.1
999,0.1
1000,0.1
1001,0.1
1002,0.1
1003,0.1
1004,0.1
1005,0.1
1006,0.1
1007,0.1
1008,0.1
1009,0.1
1010,0.1
1011,0.1
1012,0.1
1013,0.1
1014,0.1
1015,0.1
1016,0.1
1017,0.1
1018,0.1
1019,0.1
1020,0.1
1021,0.1
1022,0.1
1023,0.1
1024,0.1
1025,0.1
1026,0.1
1027,0.1
1028,0.1
1029,0.1
1030,0.1
1031,0.1
1032,0.1
1033,0.1
1034,0.1
1035,0.1
1036,0.1
1037,0.1
1038,0.1
1039,0.1
1040,0.1
1041,0.1
1042,0.1
1043,0.1
1044,0.1
1045,0.1
1046,0.1
1047,0.1
1048,0.1
1049,0.1
1050,0.1
1051,0.1
1052,0.1
1053,0.1
1054,0.1
1055,0.1
1056,0.1
1057,0.1
1058,0.1
1059,0.1
1060,0.1
1061,0.1
1062,0.1
1063,0.1
1064,0.1
1065,0.1
1066,0.1
1067,0.1
1068,0.1
1069,0.1
1070,0.1
1071,0.1
1072,0.1
1073,0.1
1074,0.1
1075,0.1
1076,0.1
1077,0.1
1078,0.1
1079,0.1
1080,0.1
1081,0.1
1082,0.1
1083,0.1
1084,0.1
1085,0.1
1086,0.1
1087,0.1
1088,0.1
1089,0.2
1090,0.2
1091,0.2
1092,0.2
1093,0.2
1094,0.2
1095,0.2
1096,0.2
1097,0.1
1098,0.1
1099,0.1
1100,0.1
1101,0.1
1102,0.1
1103,0.1
1104,0.1
1105,0.1
1106,0.1
1107,0.1
1108,0.1
1109,0.1
1110,0.1
1111,0.1
1112,0.1
1113,0.1
1114,0.1
1115,0.1
1116,0.1
1117,0.1
1118,0.1
1119,0.1
1120,0.1
1121,0.1
1122,0.1
1123,0.1
1124,0.1
1125,0.1
1126,0.1
1127,0.1
1128,0.1
1129,0.1
1130,0.1
1131,0.1
1132,0.1
1133,0.1
1134,0.1
1135,0.1
1136,0.1
1137,0.1
1138,0.1
1139,0.1
1140,0.1
1141,0.1
1142,0.1
1143,0.1
1144,0.1
1145,0.1
1146,0.1
1147,0.1
1148,0.1
1149,0.1
1150,0.1
1151,0.1
1152,0.1
1153,0.1
1154,0.1
1155,0.1
1156,0.1
1157,0.1
1158,0.1
1159,0.1
1160,0.1
1161,0.1
1162,0.1
1163,0.1
1164,0.1
1165,0.1
1166,0.1
1167,0.1
1168,0.1
1169,0.1
1170,0.1
1171,0.1
1172,0.1
1173,0.1
1174,0.1
1175,0.1
1176,0.1
1177,0.1
1178,0.1
1179,0.1
1180,0.1
1181,0.1
1182,0.1
1183,0.1
1184,0.1
1185,0.1
1186,0.1
1187,0.1
1188,0.1
1189,0.1
1190,0.1
1191,0.1
1192,0.1
1193,0.1
1194,0.1
1195,0.1
1196,0.1
1197,0.1
1198,0.1
1199,0.1
1200,0.1
1201,0.1
1202,0.1
1203,0.1
1204,0.1
1205,0.1
1206,0.1
1207,0.1
1208,0.1
1209,0.1
1210,0.1
1211,0.1
1212,0.1
1213,0.1
1214,0.1
1215,0.1
1216,0.1
1217,0.1
1218,0.1
1219,0.1
1220,0.1
1221,0.1
1222,0.1
1223,0.1
1224,0.1
1225,0.1
1226,0.1
1227,0.1
1228,0.1
1229,0.1
1230,0.1
1231,0.1
1232,0.1
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.1
1322,0.1
1323,0.1
1324,0.1
1325,0.1
1326,0.1
1327,0.1
1328,0.1
1329,0.1
1330,0.1
1331,0.1
1332,0.1
1333,0.1
1334,0.1
1335,0.1
1336,0.1
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.1
1354,0.1
1355,0.1
1356,0.1
1357,0.1
1358,0.1
1359,0.1
1360,0.1
1361,0.1
1362,0.1
1363,0.1
1364,0.1
1365,0.1
1366,0.1
1367,0.1
1368,0.1
1369,0.1
1370,0.1
1371,0.1
1372,0.1
1373,0.1
1374,0.1
1375,0.1
1376,0.1
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.1
1386,0.1
1387,0.1
1388,0.1
1389,0.1
1390,0.1
1391,0.1
1392,0.1
1393,0.1
1394,0.1
1395,0.1
1396,0.1
1397,0.1
1398,0.1
1399,0.1
1400,0.1
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.1
1450,0.1
1451,0.1
1452,0.1
1453,0.1
1454,0.1
1455,0.1
1456,0.1
1457,0.1
1458,0.1
1459,0.1
1460,0.1
1461,0.1
1462,0.1
1463,0.1
1464,0.1
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.1
1474,0.1
1475,0.1
1476,0.1
1477,0.1
1478,0.1
1479,0.1
1480,0.1
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.1
1490,0.1
1491,0.1
1492,0.1
1493,0.1
1494,0.1
1495,0.1
1496,0.1
1497,0.1
1498,0.1
1499,0.1
1500,0.1
1501,0.1
1502,0.1
1503,0.1
1504,0.1
1505,0.1
1506,0.1
1507,0.1
1508,0.1
1509,0.1
1510,0.1
1511,0.1
1512,0.1
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.1
1546,0.1
1547,0.1
1548,0.1
1549,0.1
1550,0.1
1551,0.1
1552,0.1
1553,0.1
1554,0.1
1555,0.1
1556,0.1
1557,0.1
1558,0.1
1559,0.1
1560,0.1
1561,0.1
1562,0.1
1563,0.1
1564,0.1
1565,0.1
1566,0.1
1567,0.1
1568,0.1
1569,0.1
1570,0.1
1571,0.1
1572,0.1
1573,0.1
1574,0.1
1575,0.1
1576,0.1
1577,0.1
1578,0.1
1579,0.1
1580,0.1
1581,0.1
1582,0.1
1583,0.1
1584,0.1
1585,0.1
1586,0.1
1587,0.1
1588,0.1
1589,0.1
1590,0.1
1591,0.1
1592,0.1
1593,0.1
1594,0.1
1595,0.1
1596,0.1
1597,0.1
1598,0.1
1599,0.1
1600,0.1
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.1
1610,0.1
1611,0.1
1612,0.1
1613,0.1
1614,0.1
1615,0.1
1616,0.1
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.1
1682,0.1
1683,0.1
1684,0.1
1685,0.1
1686,0.1
1687,0.1
1688,0.1
1689,0.1
1690,0.1
1691,0.1
1692,0.1
1693,0.1
1694,0.1
1695,0.1
1696,0.1
1697,0.1
1698,0.1
1699,0.1
1700,0.1
1701,0.1
1702,0.1
1703,0.1
1704,0.1
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.1
1722,0.1
1723,0.1
1724,0.1
1725,0.1
1726,0.1
1727,0.1
1728,0.1
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.1
1738,0.1
1739,0.1
1740,0.1
1741,0.1
1742,0.1
1743,0.1
1744,0.1
1745,0.1
1746,0.1
1747,0.1
1748,0.1
1749,0.1
1750,0.1
1751,0.1
1752,0.1
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.1
1770,0.1
1771,0.1
1772,0.1
1773,0.1
1774,0.1
1775,0.1
1776,0.1
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.1
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.1
2106,0.1
2107,0.1
2108,0.1
2109,0.1
2110,0.1
2111,0.1
2112,0.1
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.1
2138,0.1
2139,0.1
